predictor,group
PatientID,ID
Timepoint,time
Survivor,outcome
SuccessfulBridgeToTransplant,outcome
Sensitized,outcome
HeartFailure,demographic
Device,demographic
RVAD,demographic
olderthan60,demographic
Age,demographic
Sex,demographic
Plasmapheresis,demographic
Immunosuppression,demographic
Race,demographic
Diabetes,demographic
Ischemic,demographic
INTERMACS,demographic
Transfusion,demographic
SOFA,clinical
MELDXI,clinical
PaO2,clinical
Platelets,clinical
Bilirubin,clinical
MAP,clinical
GCS,clinical
Creatinine,clinical
Temperature,clinical
INR,clinical
WBC,clinical
Glucose,clinical
HeartRate,clinical
RespiratoryRate,clinical
Demethylation,eigengene
Mitosis,eigengene
Defense,eigengene
Apoptosis,eigengene
Metabolic,eigengene
Mitochondria,eigengene
Innate,eigengene
ProteinFolding,eigengene
Catabolism,eigengene
RNAProcessing,eigengene
Coagulation,eigengene
Ribosome,eigengene
Transcription,eigengene
TCells,eigengene
NKCells,eigengene
ER,eigengene
BCells,eigengene
TypeIIFN,eigengene
Unclustered,eigengene
CD14oflivePBMC,innate
CD56oflivePBMC,innate
CD56oflivelymph,innate
NKToflivelymph,innate
CD19oflivelymph.x,innate
CD3oflivelymph.x,innate
CD4pCD3p,innate
CD8pCD3p,innate
CD8dimCD3m,innate
CD14pCD16moflivePBMC,innate
CD14pCD16poflivePBMC,innate
CD14dimCD16poflivePBMC,innate
CD14pCD16mofCD14,innate
M2oftotalmonocytes,innate
M1oftotalmonocytes,innate
CD14dimCD16mofmonocytes,innate
CD3pCD56pCD16p,innate
CD8pCD56pCD16p,innate
CD56pCD16pofCD56NK,innate
CD56pCD16pofNKT,innate
CD3mCD8dimCD56pCD16p,innate
CD14pCD56pCD16p,innate
CD14pCD284p,innate
CD14ppCD16ppCD284p,innate
CD14pCD16mCD284p,innate
CD14dimCD16pCD284p,innate
CD14dimCD16mCD284p,innate
CD14hiCD284p,innate
CD14dimCD284p,innate
CD14pKLRG1p,innate
CD14dimKLRG1p,innate
CD14hiKLRG1p,innate
totalCD56pKLRG1p,innate
CD56NKpKLRG1p,innate
NKTpKLRG1p,innate
CD3pKLRG1p,innate
CD8dimCD3mpKLRG1p,innate
CD14ppCD16ppofmonocytes,innate
CD14dimCD16ppofmonocytes,innate
CD14dimCD16mofPBMC,innate
CD8ofCD3,Tcell
CD4ofCD3,Tcell
CD3pCCR7pRAp,Tcell
CD3pCCR7mRAp,Tcell
CD3pCCR7pRAm,Tcell
CD3pCCR7mRAm,Tcell
CD8pCCR7pRAp,Tcell
CD8pCCR7mRAp,Tcell
CD8pCCR7pRAm,Tcell
CD8pCCR7mRAm,Tcell
CD4pCCR7pRAp,Tcell
CD4pCCR7mRAp,Tcell
CD4pCCR7pRAm,Tcell
CD4pCCR7mRAm,Tcell
CD8pCD28m,Tcell
CD4pCD28m,Tcell
PD1pCD28pofCD8,Tcell
PD1pCD28pofCD4,Tcell
PD1pCD57pofCD4,Tcell
PD1pCD57pofCD8,Tcell
CD8pCD57pKLRG1p,Tcell
CD4pCD57pKLRG1p,Tcell
CD8pKLRG1pCD28m,Tcell
CD4pKLRG1pCD28m,Tcell
CD8pKLRG1pPD1p,Tcell
CD4pKLRG1pPD1p,Tcell
CD8pCD38pKLRG1p,Tcell
CD4pCD38pKLRG1p,Tcell
CD8pKLRG1p,Tcell
CD4pKLRG1p,Tcell
CD8pCD57p,Tcell
CD4pCD57p,Tcell
CD8pCD38p,Tcell
CD4pCD38p,Tcell
CD8pCD38pCD57p,Tcell
CD4pCD38pCD57p,Tcell
CD19pCD27m,Bcell
CD19pCD27p,Bcell
CD27p38ppplasmablasts,Bcell
CD27m38pptransitional,Bcell
CD27mIgDpmaturenaive,Bcell
CD27pIgDmswitchedmemory,Bcell
CD27mIgDmswitchedmemory,Bcell
CD27pIgDpunswitchedmemory,Bcell
CD27pIgDmIgMpswitchedmemory,Bcell
CD27pIgDpIgMpnonswitchedmemory,Bcell
CD19p27pIgGpIgMmmemory,Bcell
CD19p24dim38dimnaivemature,Bcell
CD19p24p38pptransitional,Bcell
CD19CD24hiCD38mmemory,Bcell
CD19p27m38pCD5ptransitionals,Bcell
CD19pCD268p,Bcell
CD268ofp27m38pptransitional,Bcell
CD19pCD11bp,Bcell
CD19pCD5p,Bcell
CD19pCD27pCD24hi,Bcell
CD19pCD5pCD24hi,Bcell
CD19pCD5pCD11bp,Bcell
CD19p27pIgDm38ppIgGASC,Bcell
IL12p40,cytokine
IL12p70,cytokine
IFNg,cytokine
TNFa,cytokine
TNFb,cytokine
IL4,cytokine
IL5,cytokine
IL9,cytokine
IL10,cytokine
IL13,cytokine
IL17A,cytokine
IL1a,cytokine
IL1b,cytokine
IL2,cytokine
IL3,cytokine
IL6,cytokine
IL15,cytokine
TGFa,cytokine
IFNa2,cytokine
IL8,cytokine
GRO,cytokine
Eotaxin,cytokine
MDC,cytokine
IP10,cytokine
MCP1,cytokine
MCP3,cytokine
Fractalkine,cytokine
MIP1a,cytokine
MIP1b,cytokine
GMCSF,cytokine
IL7,cytokine
GCSF,cytokine
VEGF,cytokine
EGF,cytokine
FGF2,cytokine
Flt3L,cytokine
IL1RA,cytokine
sCD40L,cytokine
